OBJECTID,UPlCodigo,UPlNombre,SHAPE_Leng,LocNombre,LocCodigo,idred,RedIntregr,SHAPE_Le_1,SHAPE_Area
1,UPZ100,GALERIAS,0.06056277,BARRIOS UNIDOS,12,4,Territorio Red Norte,0.06056277,0.00019347
2,UPZ83,LAS MARGARITAS,0.05809272,KENNEDY,8,2,Territorio Red Sur Occidente,0.05809272,0.00011991
3,UPZ107,QUINTA PAREDES,0.05957581,TEUSAQUILLO,13,4,Territorio Red Norte,0.05957581,0.00014166
4,UPZ101,TEUSAQUILLO,0.06356544,TEUSAQUILLO,13,4,Territorio Red Norte,0.06356544,0.00019194
5,UPZ91,SAGRADO CORAZON,0.06491195,TEUSAQUILLO,13,4,Territorio Red Norte,0.06491195,0.00011951
6,UPZ81,GRAN BRITALIA,0.06921748,KENNEDY,8,2,Territorio Red Sur Occidente,0.06921748,0.0001465
7,UPZ108,ZONA INDUSTRIAL,0.07101292,TEUSAQUILLO,13,4,Territorio Red Norte,0.07101292,0.00028254
8,UPZ75,FONTIBON,0.07824012,FONTIBON,9,2,Territorio Red Sur Occidente,0.07824012,0.00040432
9,UPZ22,DOCE DE OCTUBRE,0.06905636,BARRIOS UNIDOS,12,4,Territorio Red Norte,0.06905636,0.00027384
10,UPZ114,MODELIA,0.06636463,FONTIBON,9,2,Territorio Red Sur Occidente,0.06636463,0.00021303
11,UPZ103,PARQUE SALITRE,0.05404711,BARRIOS UNIDOS,12,4,Territorio Red Norte,0.05404711,0.00013457
12,UPZ105,JARDIN BOTANICO,0.04717506,BARRIOS UNIDOS,12,4,Territorio Red Norte,0.04717506,0.00013169
13,UPZ88,EL REFUGIO,0.11952914,USAQUEN,1,4,Territorio Red Norte,0.11952914,0.00027362
14,UPZ27,SUBA,0.12411715,SUBA,11,4,Territorio Red Norte,0.12411715,0.00053178
15,UPZ72,BOLIVIA,0.09079184,SUBA,11,4,Territorio Red Norte,0.09079184,0.00038646
16,UPZ15,COUNTRY CLUB,0.06354134,SUBA,11,4,Territorio Red Norte,0.06354134,0.00023261
17,UPZ16,SANTA BARBARA,0.07734376,BARRIOS UNIDOS,12,4,Territorio Red Norte,0.07734376,0.00037357
18,UPZ21,LOS ANDES,0.05765049,BARRIOS UNIDOS,12,4,Territorio Red Norte,0.05765049,0.00022381
19,UPZ89,SAN ISIDRO - PATIOS,0.05323999,USAQUEN,1,4,Territorio Red Norte,0.05323999,9.20E-05
20,UPZ106,LA ESMERALDA,0.0541647,BARRIOS UNIDOS,12,4,Territorio Red Norte,0.0541647,0.00015707
21,UPZ86,EL PORVENIR,0.09053768,KENNEDY,8,2,Territorio Red Sur Occidente,0.09053768,0.00037545
22,UPZ82,PATIO BONITO,0.08301776,KENNEDY,8,2,Territorio Red Sur Occidente,0.08301776,0.00025841
23,UPZ99,CHAPINERO,0.07958071,BARRIOS UNIDOS,12,4,Territorio Red Norte,0.07958071,0.00012973
24,UPZ109,CIUDAD SALITRE ORIENTAL,0.05797411,TEUSAQUILLO,13,4,Territorio Red Norte,0.05797411,0.00014702
25,UPZ90,PARDO RUBIO,0.13039872,SANTA FE,3,3,Territorio Red Centro Oriente,0.13039872,0.00023225
26,UPZ33,SOSIEGO,0.05867176,RAFAEL URIBE URIBE,18,3,Territorio Red Centro Oriente,0.05867176,0.00019129
27,UPZ111,PUENTE ARANDA,0.07876444,TEUSAQUILLO,13,4,Territorio Red Norte,0.07876444,0.00029027
28,UPZ102,LA SABANA,0.07646898,TEUSAQUILLO,13,4,Territorio Red Norte,0.07646898,0.00036721
29,UPZ45,CARVAJAL,0.09134749,TUNJUELITO,6,1,Territorio Red Sur,0.09134749,0.00035716
30,UPZ93,LAS NIEVES,0.06185131,TEUSAQUILLO,13,4,Territorio Red Norte,0.06185131,0.00014053
31,UPZ37,SANTA ISABEL,0.05539622,LOS MARTIRES,14,3,Territorio Red Centro Oriente,0.05539622,0.00016324
32,UPZ49,APOGEO,0.07336394,KENNEDY,8,2,Territorio Red Sur Occidente,0.07336394,0.00017148
33,UPZ19,EL PRADO,0.09591693,SUBA,11,4,Territorio Red Norte,0.09591693,0.00035299
34,UPZ24,NIZA,0.12220205,SUBA,11,4,Territorio Red Norte,0.12220205,0.0006162
35,UPZ23,CASA BLANCA SUBA,0.09318943,SUBA,11,4,Territorio Red Norte,0.09318943,0.00034247
